x,y,z,timestamp
0.18,0.18,0.06,1742283072.9342492
0.37,0.18,0.0,1742283074.5576105
0.06,0.18,0.06,1742283076.8098166
0.24,0.12,0.12,1742283078.5043418
0.0,0.12,0.12,1742283080.7012358
0.18,0.18,0.06,1742283082.646994
-0.18,0.12,0.12,1742283084.8993309
0.0,0.12,0.06,1742283086.74331
-0.43,0.12,0.06,1742283088.5029783
0.18,0.12,0.06,1742283090.8421595
0.0,0.12,0.06,1742283092.808601
0.12,0.18,0.06,1742283094.5335853
0.92,0.12,0.06,1742283096.5121758
0.18,0.18,0.06,1742283098.5270479
0.06,0.18,0.06,1742283100.5665326
0.24,0.12,0.06,1742283102.563379
0.12,0.12,0.12,1742283104.5341296
0.43,0.18,0.31,1742283106.5528462
0.0,0.12,0.06,1742283109.0477357
0.61,0.12,0.06,1742283110.5533626
0.12,0.12,0.12,1742283112.652599
0.12,0.12,0.12,1742283114.603223
0.06,0.18,0.06,1742283116.8229074
-0.06,0.18,0.12,1742283118.7945
0.18,0.12,0.06,1742283120.5997875
0.12,0.12,0.12,1742283122.689746
0.31,0.12,0.12,1742283124.6083424
0.12,0.12,0.06,1742283126.9889812
0.12,0.18,0.06,1742283128.7283454
0.43,0.24,0.12,1742283130.8894053
-0.73,0.06,0.12,1742283132.6317754
-0.06,0.18,-0.06,1742283134.7719965
0.37,-0.43,0.79,1742283137.0234413
0.24,0.12,0.06,1742283138.6422653
0.12,0.18,0.06,1742283140.6585107
0.12,0.18,0.06,1742283142.7555642
0.12,0.18,0.06,1742283144.9738803
-0.06,0.24,0.06,1742283146.9196422
0.06,0.12,0.06,1742283148.7970614
0.12,0.12,0.12,1742283150.7427073
0.0,0.18,0.06,1742283152.654981
0.0,0.24,0.0,1742283154.83926
0.12,0.18,0.06,1742283156.6749778
0.0,0.12,0.06,1742283158.8641758
0.49,0.0,0.12,1742283160.6827512
0.18,0.24,0.0,1742283163.0303473
0.0,0.18,0.06,1742283164.7707546
0.12,0.18,0.06,1742283166.69261
0.43,0.06,0.06,1742283168.713429
0.12,0.18,0.06,1742283170.81358
0.06,0.12,0.06,1742283172.7217963
0.12,0.18,0.06,1742283174.920442
0.12,0.12,0.06,1742283176.7326183
0.12,0.12,0.06,1742283178.8002255
0.24,0.18,0.0,1742283181.0867932
-0.06,0.24,0.0,1742283182.7525475
0.18,0.12,0.12,1742283184.7819438
-0.06,0.12,0.06,1742283186.786586
0.12,0.12,0.12,1742283188.836426
-0.18,0.31,0.06,1742283190.7947264
0.12,0.12,0.06,1742283192.8283074
-0.06,0.24,0.06,1742283194.8764749
0.18,0.12,0.06,1742283196.7962165
0.18,0.06,0.06,1742283199.1806788
0.12,0.12,0.06,1742283200.8190243
0.12,0.12,0.12,1742283202.866083
0.18,0.12,0.12,1742283204.9310505
0.06,0.12,0.06,1742283206.840176
0.06,0.18,0.06,1742283208.9209695
0.06,0.18,0.06,1742283210.8539584
0.18,0.12,0.06,1742283212.8997357
-0.06,0.24,0.06,1742283214.8636248
0.0,0.12,0.12,1742283217.1227233
0.12,0.12,0.06,1742283218.889641
0.18,0.06,-0.06,1742283220.8880107
0.12,0.12,0.06,1742283222.935487
0.06,0.18,0.06,1742283224.8807092
0.12,0.12,0.12,1742283226.9281716
0.06,0.24,0.06,1742283229.0815778
0.12,0.12,0.06,1742283230.924113
0.31,0.12,0.06,1742283232.970098
0.24,0.18,0.06,1742283235.1584432
0.06,0.12,0.06,1742283236.9633105
0.18,0.18,0.06,1742283238.9088569
0.31,0.12,0.06,1742283240.9650998
0.18,0.18,0.06,1742283243.0040278
0.18,0.12,0.06,1742283244.920101
0.18,0.12,0.06,1742283246.999315
0.06,0.18,0.06,1742283249.0481193
0.12,0.12,0.06,1742283250.9950671
0.12,0.12,0.06,1742283253.2447462
0.43,0.0,0.06,1742283254.934417
0.0,0.18,-0.18,1742283256.9331062
0.0,-0.18,0.12,1742283258.973514
0.24,15.5,0.12,1742283260.9965756
0.06,0.12,0.12,1742283262.9815645
0.24,0.85,0.12,1742283264.9480362
0.06,0.18,0.06,1742283267.0697758
0.18,0.18,0.06,1742283269.0175703
0.12,0.18,0.06,1742283271.1875148
0.12,0.18,0.06,1742283272.9895666
0.18,0.12,0.06,1742283274.9920352
0.12,0.12,0.06,1742283277.003804
0.12,0.06,0.06,1742283279.0500326
0.12,0.12,0.06,1742283281.000957
0.12,0.18,0.12,1742283283.0439756
0.12,0.18,0.06,1742283285.0066967
0.18,0.18,0.0,1742283287.0310047
0.24,0.0,0.12,1742283289.3913407
0.12,0.18,0.06,1742283291.031578
0.18,0.12,0.12,1742283293.0893013
0.18,0.12,0.06,1742283295.0276833
0.12,0.18,0.06,1742283297.1751332
0.18,0.12,0.06,1742283299.1276453
0.24,0.18,0.06,1742283301.0773723
0.18,0.12,0.12,1742283303.1067832
0.06,0.18,0.06,1742283305.1632147
